wahlbezirk_nr,wahlbezirk,Wahlb ohne Sperrv,Wahlb mit Sperrv,Wahlb nach�9,Wahlb insges,waehler_insgesamt,dav mit Wahl-schein,Ung�lt Stimmen,G�ltige Stimmen,cdu,spd,gruene,fdp,uwg_ms,die_linke,oedp,Seemann (Einzelbew),Schulte (Einzelbew),piraten
011,J�defelderstra�e,918,195,0,1113,431,0,3,428,135,93,123,37,2,20,4,-,-,14
012,Spiekerhof,715,432,0,1147,387,0,2,385,185,58,74,37,4,8,4,-,-,15
013,Sonnenstra�e,772,248,0,1020,384,0,0,384,154,78,87,33,6,10,2,-,-,14
014,Prinzipalmarkt,953,399,0,1352,448,0,2,446,154,104,88,55,8,10,3,-,-,24
015,Aegidii,900,227,0,1127,440,0,3,437,147,106,101,43,6,9,1,-,-,24
016,�berwasser,790,222,0,1012,367,0,1,366,132,80,98,20,4,16,6,-,-,10
B501,Brief Altstadt 1,0,0,0,0,722,0,1,721,363,120,119,68,17,8,5,-,-,21
B601,Brief Altstadt 2,0,0,0,0,818,0,5,813,461,130,112,64,14,11,3,-,-,18
01,Altstadt ges,5048,1723,0,6771,3997,0,17,3980,1731,769,802,357,61,92,28,-,-,140
021,Kapuzinerstra�e,1258,294,0,1552,548,0,3,545,183,121,135,54,10,20,1,-,-,21
022,Marientalstra�e,887,230,0,1117,507,0,3,504,123,137,152,39,6,24,2,-,-,21
023,Schulstra�e,999,275,0,1274,560,0,2,558,136,153,167,43,7,27,5,-,-,20
024,Schloss,1112,387,0,1499,588,0,3,585,220,107,122,79,11,17,2,-,-,27
025,Wilhelmstra�e,958,284,0,1242,439,0,8,431,126,101,122,38,7,18,1,-,-,18
B502,Brief Schloss 1,0,0,0,0,743,0,4,739,236,187,183,90,3,19,0,-,-,21
B602,Brief Schloss 2,0,0,0,0,632,0,3,629,254,134,108,93,7,15,3,-,-,15
02,Schloss ges,5214,1470,0,6684,4017,0,26,3991,1278,940,989,436,51,140,14,-,-,143
031,Finkenstra�e,894,243,0,1137,580,0,3,577,174,137,166,41,3,31,4,-,-,21
032,Tannenbergstra�e,946,243,0,1189,518,0,2,516,101,158,189,21,6,23,5,-,-,13
033,Siverdesstra�e,891,244,0,1135,457,0,3,454,101,118,159,24,3,21,7,-,-,21
034,Coerdestra�e,819,226,0,1045,484,0,1,483,135,122,133,47,7,14,4,-,-,21
035,Hoyastra�e,1083,344,0,1427,661,0,2,659,204,145,205,55,5,25,3,-,-,17
036,Gertrudenstra�e,985,296,0,1281,633,0,3,630,192,145,173,52,5,31,12,-,-,20
B503,Brief Kreuz 1,0,0,0,0,687,0,1,686,297,146,138,65,6,14,2,-,-,18
B603,Brief Kreuz 2,0,0,0,0,816,0,8,808,313,154,184,88,9,34,10,-,-,16
03,Kreuz ges,5618,1596,0,7214,4836,0,23,4813,1517,1125,1347,393,44,193,47,-,-,147
041,Holsteiner Stra�e,898,250,0,1148,498,0,2,496,169,134,99,38,8,23,13,-,-,12
042,Mecklenburger Stra�e,632,165,0,797,364,0,2,362,113,93,90,26,9,17,3,-,-,11
043,Staufenstra�e,997,258,0,1255,522,0,3,519,117,143,169,44,5,20,2,-,-,19
044,Overbergstra�e,705,191,0,896,382,0,1,381,73,102,154,17,5,18,2,-,-,10
045,Landeshaus,743,246,0,989,427,0,0,427,147,107,102,35,2,17,2,-,-,15
046,Zeppelinstra�e,1057,232,0,1289,506,0,4,502,116,156,131,47,4,30,4,-,-,14
047,Gartenstra�e,1267,314,0,1581,683,0,3,680,236,159,168,54,10,26,7,-,-,20
B504,Brief Piusallee 1,0,0,0,0,828,0,18,810,299,176,215,60,13,24,11,-,-,12
B604,Brief Piusallee 2,0,0,0,0,747,0,4,743,288,175,151,80,15,14,0,-,-,20
04,Piusallee ges,6299,1656,0,7955,4957,0,37,4920,1558,1245,1279,401,71,189,44,-,-,133
051,Salzmannstra�e,1178,157,0,1335,453,0,2,451,115,125,130,29,9,22,3,-,-,18
